member_casual,start_hour,num_rides
casual,0,4079
casual,1,2760
casual,2,1606
casual,3,936
casual,4,702
casual,5,1856
casual,6,4313
casual,7,8811
casual,8,12710
casual,9,11780
casual,10,14547
casual,11,18262
casual,12,22501
casual,13,23790
casual,14,24964
casual,15,27761
casual,16,31073
casual,17,29907
casual,18,22295
casual,19,15206
casual,20,10214
casual,21,8936
casual,22,7688
casual,23,5769
member,0,6263
member,1,3469
member,2,1858
member,3,1264
member,4,1909
member,5,8790
member,6,28543
member,7,55526
member,8,69667
member,9,44065
member,10,38009
member,11,44621
member,12,51876
member,13,52091
member,14,53295
member,15,66137
member,16,88900
member,17,98963
member,18,68368
member,19,44489
member,20,30116
member,21,22945
member,22,15753
member,23,10025
